SMILES,N,TTR binding activity,UNIT {TTR binding activity}
Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1,579,110.4,% 
CCCCCCCCCCCCCCCS(=O)(=O)OC1=CC=CC=C1,582,6.5,% 
[Ca++].CCCCCCC(C)(C)C([O-])=O.CCCCCCC(C)(C)C([O-])=O,584,53.3,% 
CC1(C)C2CCC(C2)C1=C,585,6.9,% 
COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1,586,4.8,% 
O=C1CCCCCN1,587,-0.2,% 
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,589,89.1,% 
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,591,56.6,% 
COC(=O)NC1=NC2=CC=CC=C2N1,593,-20.8,% 
CCCCN(CCCC)SN(C)C(=O)OC1=C2OC(C)(C)CC2=CC=C1,595,67.5,% 
CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,596,36.7,% 
CS(O)(=O)=O.CC(C)C1=CC=C(C=C1S(C)(=O)=O)C(=O)N=C(N)N,598,11.8,% 
CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,600,56.9,% 
CC(=O)C1=CC(=CC2=C1CCC2(C)C)C(C)(C)C,601,6.2,% 
NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O,602,93.9,% 
O.O.O.[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,603,88.9,% 
ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,604,62.6,% 
OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,605,69.6,% 
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,606,89.6,% 
NC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1,607,63.9,% 
ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1,611,90.4,% 
CC1=CC=C(Cl)C=C1.CC1=CC(Cl)=CC=C1,612,11.3,% 
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,613,74.2,% 
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,614,102.8,% 
CCOP(=O)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,615,99.4,% 
COP(=S)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl,616,99.6,% 
COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl,617,99.7,% 
OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,618,94.7,% 
NC1=CC2=C3N(CCC3=C1)C(=O)[C@H](NC(=O)C1=CC=CN=C1)N=C2C1=CC=CC=C1,619,40.1,% 
CC(C)[C@]12CC[C@](C)(O1)[C@@H](C2)OCC1=C(C)C=CC=C1,620,45.9,% 
OC(=O)CC(O)(CC(O)=O)C(O)=O,622,-10.7,% 
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,623,12.1,% 
CC(CCO)CCC=C(C)C,625,92.9,% 
NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1,627,93,% 
NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1,628,6.3,% 
C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,629,57.3,% 
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,631,42.1,% 
OC(=O)C1=C(Cl)C=CC(Cl)=N1,633,30.8,% 
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,635,105,% 
Cl.COC(=O)C(N)CC1=CN=CN1,637,85.7,% 
COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,638,41.7,% 
[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co],639,32.2,% 
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,640,12.6,% 
CN1[C@@H](CCC1=O)C1=CN=CC=C1,641,4.8,% 
O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,643,64.6,% 
CC(CC1=CC=C(OCC(O)=O)C=C1)NCC(O)C1=CSC(=N1)C(F)(F)F,645,22.3,% 
O[C@@H]1[C@@H](COC2=C1C=CC(O)=C2)N1CCC(O)(CC1)C1=CC=C(F)C=C1,647,59.6,% 
CCC1=NN(C2CCCCC2)C2=C1C=CC(=C2)[C@]1(CC[C@@H](CC1)C(O)=O)C#N,648,62.7,% 
CS(O)(=O)=O.CCOC1=CC=CC(=C1)[C@]1(CC[C@H](C)CC1)N1CCN(CC1)C1=CC=CC=C1,650,15.5,% 
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1,652,10.5,% 
[Na+].CC(C)C1=CC=CC(C(C)C)=C1NC(=O)[N-]S(=O)(=O)C1=CC(=CO1)C(C)(C)O,653,37.3,% 
ONC(=O)C1(CCCC1)N(CCC(O)=O)S(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,654,30,% 
CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,655,41.7,% 
ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,656,48.4,% 
CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1,657,35.5,% 
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC3=NON=C3C=C2)C=C1,659,5.1,% 
CC1=CC(NC(=O)C(O)=O)=CC(C)=C1OC1=CC=C(O)C2=C1CCC2,660,105.4,% 
C[C@@H](O)C1=NC(=CC=N1)N1[C@@H](C)CN(C[C@H]1C)C1=NC(C)=NC(C)=N1,661,0.4,% 
C[C@@H](OC1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C3OCOC3=C2)C(F)=C1)C(O)=O,662,11.1,% 
CCCCCCC(O)C\C=C\CCCCCCCOC(=O)OCCOCC(COCCOC(=O)OCCCCCCC\C=C\CC(O)CCCCCC)OCCOC(=O)OCCCCCCC\C=C\CC(O)CCCCCC,663,-22,% 
CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1,666,30.7,% 
CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1,669,86,% 
OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,670,96.4,% 
O=C(C1CCC1)C1=CC=CC=C1,671,30.8,% 
OC1CCCCCCCCCCC1,672,44.9,% 
O=C1CCCCC1,674,1,% 
ON=C1CCCCC1,675,11.1,% 
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,676,10.8,% 
NC1CCCCC1,677,11.8,% 
O=C(C1CCCCC1)C1=CC=CC=C1,678,45.5,% 
C[C@@H]1C2NC[C@@H](C)C[C@H]2O[C@]11CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C,679,-3.7,% 
O.ClCCN(CCCl)P1(=O)NCCCO1,682,63.3,% 
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,683,48.1,% 
CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,684,51.1,% 
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,687,91,% 
NC1=NC(NC2CC2)=NC(N)=N1,689,24.2,% 
Cl.NC1=NC(=O)N(C=C1)C1OC(CO)[C@@H](O)C1O,690,8.7,% 
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,696,25,% 
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,698,14.9,% 
CCCCCCCCCC=O,699,94.7,% 
OC(=O)CCCCCCCCC(O)=O,700,39.5,% 
CCCCCCCCCC(O)=O,701,93.7,% 
CCN(CC)C(=O)C1=CC=CC(C)=C1,703,51.8,% 
CC(=O)C1C(=O)OC(C)=CC1=O,704,41,% 
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O,705,37.5,% 
CCNC1=NC(N)=NC(Cl)=N1,706,20.2,% 
[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,708,12.7,% 
O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,709,21.5,% 
[Na+].[Na+].C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP([O-])([O-])=O,711,7.1,% 
CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,712,15.1,% 
CC(C)(C)OOC(C)(C)C,713,6.8,% 
CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,714,5.6,% 
CC(=O)CC(C)(C)O,715,-17,% 
C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,716,65.2,% 
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,717,39.1,% 
OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,718,9.7,% 
S1C2=C(C=CC=C2)C2=C1C=CC=C2,721,15.7,% 
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,723,70.8,% 
CCCCOC(=O)CCCCC(=O)OCCCC,724,9.9,% 
CCCCOC(=O)CCCCCCCC(=O)OCCCC,725,29.2,% 
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,726,-0.5,% 
COC1=C(Cl)C=CC(Cl)=C1C(O)=O,727,62.8,% 
ClC(Cl)C(=O)N(CC=C)CC=C,729,17.2,% 
OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,732,105.5,% 
CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,733,81.7,% 
COP(=O)(OC)OC=C(Cl)Cl,734,13.9,% 
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,735,64.6,% 
CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,737,80.7,% 
C1CCC(CC1)SSC1CCCCC1,738,22.7,% 
O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1,739,37.8,% 
[Na+].[O-]S(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,740,74,% 
C1C=CC2C3CC(C=C3)C12,741,13.6,% 
OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O,742,1.7,% 
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,743,25.9,% 
OCCNCCO,744,14.6,% 
CCOC(=O)CCC(=O)OCC,745,6.4,% 
CCO[P+](=O)OCC,746,6.4,% 
CCOC(=O)C1=CC=CC=C1C(=O)OCC,747,44.1,% 
CCOS(=O)(=O)OCC,749,-4,% 
OCCOCCO,750,0.4,% 
O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,751,29.2,% 
COCCOCCO,753,10.3,% 
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,754,103.2,% 
COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1,755,91,% 
FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1,756,-8,% 
COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F,757,33.1,% 
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,758,13.1,% 
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,759,1,% 
CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC,760,17.7,% 
CC(C)(O)CCCC(=C)C=C,762,28.9,% 
CC(C)COC(=O)CCCCC(=O)OCC(C)C,763,63.2,% 
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,766,4.6,% 
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1=CC=CC=C1,767,101.9,% 
CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,768,-3.7,% 
CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,769,-35.9,% 
CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,770,21,% 
CC(O)CNCC(C)O,771,11.5,% 
CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C,772,56.5,% 
CNC(=O)CSP(=S)(OC)OC,775,39.7,% 
CC1CC(OC(C)=O)OC(C)O1,777,-24.1,% 
CO[Si](C)(C)OC,778,3.5,% 
COC(=O)CCCC(=O)OC,781,8.1,% 
COC(=O)C1=CC(=CC=C1)C(=O)OC,782,40.7,% 
COP(C)(=O)OC,783,13,% 
COC(=O)C1=C(C=CC=C1)C(=O)OC,785,38.2,% 
COC(=O)CCC(=O)OC,786,5,% 
COS(=O)(=O)OC,787,11.9,% 
COC(=O)C1=CC=C(C=C1)C(=O)OC,788,39.6,% 
CC1=CC(C)=C(N)C=C1.CC1=CC(N)=C(C)C=C1.CC1=CC(N)=CC(C)=C1.CC1=CC=CC(C)=C1N.CC1=C(C)C=C(N)C=C1.CC1=C(C)C(N)=CC=C1,791,33.9,% 
C[As](C)(O)=O,792,-1.8,% 
CN(C)C(Cl)=O,794,-3.9,% 
C[Sn](C)(Cl)Cl,795,-1.7,% 
CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1,796,82.7,% 
ON=O.CCCCCCCC.C\C=C\C(=O)OC1=CC=CC=C1N(=O)=O,797,111.1,% 
CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,798,109,% 
CN\C(NCC1CCOC1)=N/[N+]([O-])=O,799,7.4,% 
CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,800,13.4,% 
CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCC,802,49.6,% 
O=C(OC1=CC=CC=C1)C1=CC(=CC=C1)C(=O)OC1=CC=CC=C1,805,79,% 
O(C1=CC=CC=C1)C1=CC=CC=C1,806,57.9,% 
OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,807,45.8,% 
N(C1=CC=CC=C1)C1=CC=CC=C1,809,83.8,% 
CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC,812,33.2,% 
CC(O)COCC(C)O.CC(CO)OC(C)CO,813,4.1,% 
COCCOCCO,814,-5.3,% 
CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,815,34.7,% 
CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F,817,44.8,% 
CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,818,34.4,% 
C=CC1=CC=CC=C1C=C,819,23.8,% 
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(C)=O)=C2C,821,-3.7,% 
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,823,104.7,% 
CCCCCCCCCCCCC1=CC=CC=C1,826,-13.6,% 
OCCN(CCO)CCO.CCCCCCCCCCCCC1=CC(=CC=C1)S(O)(=O)=O,827,101.8,% 
CCCCCCCCCCCCC1=CC=CC=C1S(O)(=O)=O,828,105.3,% 
CCCCCCCCCCCCC1=CC=C(O)C=C1,829,99.8,% 
[Cl-].[Cl-].[Cl-].[Dy+3],830,6.3,% 
OC(=O)\C=C\C1=CC=CC=C1,831,53.5,% 
ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,834,16.4,% 
ClC1=C(Cl)[C@]2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,835,18.9,% 
OC(=O)C1C2CCC(O2)C1C(O)=O,837,-3.4,% 
CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1,839,78.6,% 
FC1=CC=C(C=C1)[C@@]1(CN2C=NC=N2)O[C@@H]1C1=C(Cl)C=CC=C1,840,62.2,% 
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,842,13.4,% 
CC(C)[C@H](C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,843,47.1,% 
COC1=CC=C(CC=C)C=C1,844,21.6,% 
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,845,29.7,% 
C[C@]12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O,846,15.3,% 
CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C,851,82.6,% 
CCOC(=O)CC1=CC=CC2=C1C=CC=C2,853,84,% 
CCOC(=O)C1OC1C1=CC=CC=C1,855,40.1,% 
CCC(=O)C1=CC=C(Cl)C=C1,856,15.6,% 
CCN(CCO)CCO,861,4.5,% 
CCCCCC(=O)OCC,863,1.8,% 
CCCCCCCC\C=C/CCCCCCCC(=O)OCC,866,17.7,% 
CCOC(OCC)OCC,867,12,% 
CCOC(=O)CC,868,10.6,% 
CCOC(=O)CCCCCCCCC=C,869,26.8,% 
OCCO,870,4.9,% 
CCOCCOC(C)=O,871,12.3,% 
O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,872,26,% 
CCOC(=O)C1=CC=C(O)C=C1,874,81.3,% 
CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC(OC2=CC=CC=C2)=CC=C1,876,51.7,% 
CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F,877,40.1,% 
COC1=C(O)C=CC(CC=C)=C1,879,91.2,% 
[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O,881,81.3,% 
CC(C)=CCCC(C)=CCCC(C)=CCO,882,90,% 
[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O,883,56.9,% 
[Na+].[Na+].OC1=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C2=C(C=C1)C=C(C=C2)S([O-])(=O)=O,884,97.9,% 
CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1,885,35.3,% 
CC1(C)C2CCC(C)(C2)C1O,888,3.6,% 
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,890,98.4,% 
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,891,24.8,% 
CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,894,83.7,% 
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,897,94,% 
CN(C)C(=O)NC1=CC=CC=C1,898,6.9,% 
NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,900,57.4,% 
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,901,95.1,% 
[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F,903,108.7,% 
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,905,8.8,% 
CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1,907,66.8,% 
FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1,908,20,% 
CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,909,24.7,% 
CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,910,61.1,% 
FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2,912,85.2,% 
CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,913,54.8,% 
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,915,45.8,% 
CO\N=C(\C1=NOCCO1)C1=C(OC2=NC=NC(OC3=CC=CC=C3Cl)=C2F)C=CC=C1,916,88.2,% 
NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,917,84.5,% 
CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,918,84.2,% 
C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,919,52.2,% 
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,920,30.4,% 
CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,922,75.6,% 
CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O,923,97.6,% 
ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1,924,54.6,% 
C=O,925,14.6,% 
NC=O,926,2.3,% 
CC1=C(C2=C(O1)C(NC(=O)C1=C(Cl)C=CC=C1Cl)=CC=C2)C(C)(C)O,931,102.1,% 
OC(=O)\C=C\C(O)=O,932,6,% 
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,933,104.8,% 
O=C1CCCO1,934,11.3,% 
CCC1CCC(=O)O1,935,54,% 
CCCC1CCC(=O)O1,938,10.6,% 
CCCCCC1CCC(=O)O1,939,13.3,% 
CC(C)=CCC\C(C)=C\COC(C)=O,943,24.6,% 
C[C@@]12C3[C@H](C(O)=O)[C@@]45CC(=C)[C@](O)(C4)CCC5[C@]3(OC1=O)C=C[C@@H]2O,944,-5.4,% 
CCCCCCCC(=O)OCC(O)CO,947,35,% 
CCCCCCCC\C=C\CCCCCCCC(=O)OCC(O)CO,948,76.5,% 
CCCCCCC(O)C\C=C\CCCCCCCC(=O)OCC(O)CO,949,85.6,% 
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,950,9.3,% 
OCC1CO1,951,2.9,% 
CCCCCCCCCC1=CC=C(OCCO)C=C1,953,44.3,% 
O=C1NC2NC(=O)NC2N1,954,6.5,% 
CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(C)=O)OC(C)=O)OC(C)=O,955,21.2,% 
NC(=O)CN(CC(F)(F)F)C1=CC(=C(C=C1)C#N)C(F)(F)F,956,21.3,% 
CC1=CC=C(C=C1)S(O)(=O)=O.CCN(C(C)C)C(=O)C1=CC(OC[C@H](C)NC2=CC=NC=C2)=CC(C)=C1,957,5.9,% 
Cl[C@H]1[C@H]2O[C@H]2C2C1[C@@]1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,959,-20.2,% 
CCCCCCC=O,960,56.9,% 
CCCCCCC(O)=O,961,43.3,% 
CCCCCCC(=O)C1=CC=CC=C1,962,41.7,% 
CCCCCCCOC(=O)CCC,963,18.6,% 
CCCCCCCOC(=O)C1=CC=C(O)C=C1,964,103,% 
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,965,98.9,% 
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,966,98.4,% 
CCCCC(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl,967,69,% 
CCCCCCCCCCCCCCCC,968,10.1,% 
CCCCCCCCCCCCCCCC(O)=O,969,53.4,% 
FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,970,-18.9,% 
O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,974,26.8,% 
N#CCCCCC#N,975,15.9,% 
OC(=O)CCCCC(O)=O,976,13.8,% 
CCCC(CC)COC(=O)CCCCCC(=O)OCC(C)C(C)CC,977,11.6,% 
CCCCCC(O)=O,978,11.2,% 
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,979,21.6,% 
CCCCCCOC(=O)C1=CC=CC=C1,980,51.2,% 
C[C@H]1[C@@H](SC(=O)N1C(=O)NC1CCCCC1)C1=CC=C(Cl)C=C1,981,56.4,% 
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,982,-6.7,% 
OC1=CC=C(O)C=C1,983,19.9,% 
COC1=CC=C(OC)C=C1,984,19.2,% 
CC(CCCC(C)(C)O)CC=O,985,28.7,% 
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,986,29.8,% 
CCC(C)OC(=O)N1CCCCC1CCO,987,13.4,% 
CC(C)CCCCCCC1=CC=C(OCCOCCO)C=C1,988,2.8,% 
COC(=O)C1=C(C=C(C)C=C1)C1=NC(C)(C(C)C)C(=O)N1,990,12.2,% 
CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O,992,12.5,% 
CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O,994,14.5,% 
CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,995,8.2,% 
N1C=CN=C1,997,3.6,% 
OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O,998,20.5,% 
[As]#[In],999,-16.2,% 
COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,1000,37.9,% 
O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1,1001,52.2,% 
[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,1002,96.9,% 
